Nf,sample,Nd,occurence,Site,Tree,Plug,Site_tree_plug,State,dateSamp,dbh,NeoFruiting,RaisedCanker,TarrySpots,Wax,Xylococcus,TreeCond,quartile,NeoCoverage,lat,lon,elev_m,Year_infection_observed.min,county,year_sampled,duration_infection,Site_mean.dbh,Site_mean.NeoFruiting,Site_mean.RaisedCanker,Site_mean.TarrySpots,Site_mean.Wax,Site_mean.Xylococcus,Site_mean.TreeCond,ppt,tmax,MAT,tmin,total_seqs
1,BP1,0,Nf,ADS1,21,2,ADS1_21_2,NY,29-Apr-18,13.4,2,3,0,1,0,1,lower quartile dbh,1,43.08413,-74.44064,430,1960,Fulton,2018,58,23.75882353,0.745098039,1.980392157,0,0.882352941,0.039215686,1.549019608,1229.859985,12.16166687,6.522083282,0.882499993,249973
0,BP10,0,none,MEN1,41,1,MEN1_41_1,ME,6-Jun-18,18.3,0,3,9,1,1,3,upper quartile dbh,0,46.65849,-68.69133,432,1950,Aroostook,2018,68,16.96078431,0.235294118,2.509803922,6.215686275,0.921568627,0.666666667,2.058823529,1073.420044,9.851666451,3.580416679,-2.69083333,3767
0,BP100,1,Nd,MI1,15,1,MI1_15_1,MI,26-Apr-18,39,0,0,20,1,0,2,interquartile dbh,0,45.31791,-84.67228,885,2006,Cheboygan,2018,12,28.98235294,0.254901961,0.31372549,1.019607843,1.823529412,0,1.411764706,818.2600098,12.40750027,6.324166775,0.240833417,3240
1,BP101,0,Nf,ASH2,52,1,ASH2_52_1,NC,27-Jan-19,11.4,1,0,0,1,0,0,lower quartile dbh,1,35.320256,-82.843865,1550,1999,Haywood,2019,20,16.6921875,0.703125,0.03125,0,0.453125,0,0.625,1951.430054,15.59000015,10.11666679,4.643333435,11426
1,BP102,1,both,MI1,43,2,MI1_43_2,MI,26-Apr-18,49.5,4,0,0,1,0,1,upper quartile dbh,4,45.31791,-84.67228,885,2006,Cheboygan,2018,12,28.98235294,0.254901961,0.31372549,1.019607843,1.823529412,0,1.411764706,818.2600098,12.40750027,6.324166775,0.240833417,24038
0,BP103,0,none,MES1,2,1,MES1_2_1,ME,31-May-18,15.5,0,3,6,2,0,2,upper quartile dbh,0,44.83071,-68.59962,58,1950,Penobscot,2018,68,17.13265306,0.224489796,2.87755102,3.510204082,1.081632653,0.06122449,2.510204082,1080.219971,12.25,6.495416641,0.740833282,3225
1,BP104,0,Nf,ADS1,20,5,ADS1_20_5,NY,29-Apr-18,23.2,3,3,0,1,0,1,interquartile dbh,1,43.08413,-74.44064,430,1960,Fulton,2018,58,23.75882353,0.745098039,1.980392157,0,0.882352941,0.039215686,1.549019608,1229.859985,12.16166687,6.522083282,0.882499993,3063
0,BP105,0,none,ADN1,17,1,ADN1_17_1,NY,26-May-18,18.8,0,0,0,0,0,1,lower quartile dbh,0,44.49242,-74.02946,603,1975,Franklin,2018,43,18.13,0.18,0.58,0.08,0.98,0.38,0.52,1140.719971,11.32499981,5.073333263,-1.178333402,5
1,BP106,0,Nf,ADS1,20,1,ADS1_20_1,NY,29-Apr-18,23.2,3,3,0,1,0,1,interquartile dbh,2,43.08413,-74.44064,430,1960,Fulton,2018,58,23.75882353,0.745098039,1.980392157,0,0.882352941,0.039215686,1.549019608,1229.859985,12.16166687,6.522083282,0.882499993,88
0,BP107,0,none,MI1,42,1,MI1_42_1,MI,26-Apr-18,10.2,0,2,0,1,0,0,lower quartile dbh,0,45.31791,-84.67228,885,2006,Cheboygan,2018,12,28.98235294,0.254901961,0.31372549,1.019607843,1.823529412,0,1.411764706,818.2600098,12.40750027,6.324166775,0.240833417,7
0,BP108,0,none,MI1,42,2,MI1_42_2,MI,26-Apr-18,10.2,0,2,0,1,0,0,lower quartile dbh,0,45.31791,-84.67228,885,2006,Cheboygan,2018,12,28.98235294,0.254901961,0.31372549,1.019607843,1.823529412,0,1.411764706,818.2600098,12.40750027,6.324166775,0.240833417,2916
1,BP109,0,Nf,ADS1,14,2,ADS1_14_2,NY,29-Apr-18,23.2,4,2,0,1,0,1,interquartile dbh,2,43.08413,-74.44064,430,1960,Fulton,2018,58,23.75882353,0.745098039,1.980392157,0,0.882352941,0.039215686,1.549019608,1229.859985,12.16166687,6.522083282,0.882499993,14
1,BP11,0,Nf,ADS1,14,1,ADS1_14_1,NY,29-Apr-18,23.2,4,2,0,1,0,1,interquartile dbh,2,43.08413,-74.44064,430,1960,Fulton,2018,58,23.75882353,0.745098039,1.980392157,0,0.882352941,0.039215686,1.549019608,1229.859985,12.16166687,6.522083282,0.882499993,27108
1,BP110,0,Nf,GK1j,33,2,GK1j_33_2,WV,2-May-18,20.3,1,2,0,1,1,1,interquartile dbh,1,38.60741,-79.84431,1161,1999,Randolph,2018,19,25.69607843,0.156862745,1.647058824,0,0.607843137,0.745098039,2.470588235,1385.109985,12.9491663,7.011250019,1.073333263,106
0,BP111,0,none,MES1,30,1,MES1_30_1,ME,31-May-18,10.2,0,3,13,1,0,1,lower quartile dbh,0,44.83071,-68.59962,58,1950,Penobscot,2018,68,17.13265306,0.224489796,2.87755102,3.510204082,1.081632653,0.06122449,2.510204082,1080.219971,12.25,6.495416641,0.740833282,1118
1,BP112,1,both,MEN1,28,2,MEN1_28_2,ME,6-Jun-18,17.4,1,3,1,2,1,3,interquartile dbh,1,46.65849,-68.69133,432,1950,Aroostook,2018,68,16.96078431,0.235294118,2.509803922,6.215686275,0.921568627,0.666666667,2.058823529,1073.420044,9.851666451,3.580416679,-2.69083333,3030
1,BP113,1,both,CW1,12,1,CW1_12_1,NH,18-Jan-19,28,2,2,2,2,0,1,interquartile dbh,1,43.133999,-70.951026,15,1960,Strafford,2019,59,27.76428571,1.214285714,1.357142857,0.928571429,1.642857143,0,0.428571429,1150.579956,14.38083363,8.432916641,2.485000134,229
0,BP115,0,none,MI1,38,1,MI1_38_1,MI,26-Apr-18,39,0,0,0,4,0,1,interquartile dbh,0,45.31791,-84.67228,885,2006,Cheboygan,2018,12,28.98235294,0.254901961,0.31372549,1.019607843,1.823529412,0,1.411764706,818.2600098,12.40750027,6.324166775,0.240833417,14222
1,BP116,0,Nf,MES1,31,2,MES1_31_2,ME,31-May-18,12.9,2,3,18,1,0,1,interquartile dbh,1,44.83071,-68.59962,58,1950,Penobscot,2018,68,17.13265306,0.224489796,2.87755102,3.510204082,1.081632653,0.06122449,2.510204082,1080.219971,12.25,6.495416641,0.740833282,7542
1,BP117,0,Nf,ADS1,4,2,ADS1_4_2,NY,29-Apr-18,30,2,3,0,1,0,1,upper quartile dbh,1,43.08413,-74.44064,430,1960,Fulton,2018,58,23.75882353,0.745098039,1.980392157,0,0.882352941,0.039215686,1.549019608,1229.859985,12.16166687,6.522083282,0.882499993,1822
1,BP118,0,Nf,ADS1,35,3,ADS1_35_3,NY,29-Apr-18,21.2,2,2,0,1,0,1,interquartile dbh,2,43.08413,-74.44064,430,1960,Fulton,2018,58,23.75882353,0.745098039,1.980392157,0,0.882352941,0.039215686,1.549019608,1229.859985,12.16166687,6.522083282,0.882499993,1354
1,BP12,0,Nf,CW1,1,2,CW1_1_2,NH,18-Jan-19,26.6,1,1,0,1,0,0,interquartile dbh,1,43.133999,-70.951026,15,1960,Strafford,2019,59,27.76428571,1.214285714,1.357142857,0.928571429,1.642857143,0,0.428571429,1150.579956,14.38083363,8.432916641,2.485000134,5470
1,BP120,1,both,MI1,1,3,MI1_1_3,MI,26-Apr-18,34.8,2,1,0,1,0,2,interquartile dbh,2,45.31791,-84.67228,885,2006,Cheboygan,2018,12,28.98235294,0.254901961,0.31372549,1.019607843,1.823529412,0,1.411764706,818.2600098,12.40750027,6.324166775,0.240833417,26204
1,BP121,1,both,ADS1,10,5,ADS1_10_5,NY,29-Apr-18,13,3,2,0,2,0,0,lower quartile dbh,2,43.08413,-74.44064,430,1960,Fulton,2018,58,23.75882353,0.745098039,1.980392157,0,0.882352941,0.039215686,1.549019608,1229.859985,12.16166687,6.522083282,0.882499993,14385
1,BP122,0,Nf,GK1j,33,4,GK1j_33_4,WV,2-May-18,20.3,1,2,0,1,1,1,interquartile dbh,1,38.60741,-79.84431,1161,1999,Randolph,2018,19,25.69607843,0.156862745,1.647058824,0,0.607843137,0.745098039,2.470588235,1385.109985,12.9491663,7.011250019,1.073333263,4202
1,BP123,1,both,MI1,1,2,MI1_1_2,MI,26-Apr-18,34.8,2,1,0,1,0,2,interquartile dbh,3,45.31791,-84.67228,885,2006,Cheboygan,2018,12,28.98235294,0.254901961,0.31372549,1.019607843,1.823529412,0,1.411764706,818.2600098,12.40750027,6.324166775,0.240833417,109224
1,BP124,1,both,ADN1,25,4,ADN1_25_4,NY,26-May-18,31.8,1,3,0,1,1,3,upper quartile dbh,1,44.49242,-74.02946,603,1975,Franklin,2018,43,18.13,0.18,0.58,0.08,0.98,0.38,0.52,1140.719971,11.32499981,5.073333263,-1.178333402,8
1,BP125,0,Nf,MI1,20,1,MI1_20_1,MI,26-Apr-18,17.2,0,1,10,2,0,2,lower quartile dbh,0,45.31791,-84.67228,885,2006,Cheboygan,2018,12,28.98235294,0.254901961,0.31372549,1.019607843,1.823529412,0,1.411764706,818.2600098,12.40750027,6.324166775,0.240833417,12707
1,BP126,1,both,MI1,1,4,MI1_1_4,MI,26-Apr-18,34.8,2,1,0,1,0,2,interquartile dbh,3,45.31791,-84.67228,885,2006,Cheboygan,2018,12,28.98235294,0.254901961,0.31372549,1.019607843,1.823529412,0,1.411764706,818.2600098,12.40750027,6.324166775,0.240833417,39004
1,BP127,1,both,CW1,12,2,CW1_12_2,NH,18-Jan-19,28,2,2,2,2,0,1,interquartile dbh,1,43.133999,-70.951026,15,1960,Strafford,2019,59,27.76428571,1.214285714,1.357142857,0.928571429,1.642857143,0,0.428571429,1150.579956,14.38083363,8.432916641,2.485000134,29010
1,BP128,0,Nf,CW1,8,1,CW1_8_1,NH,18-Jan-19,38.4,3,1,1,3,0,0,upper quartile dbh,2,43.133999,-70.951026,15,1960,Strafford,2019,59,27.76428571,1.214285714,1.357142857,0.928571429,1.642857143,0,0.428571429,1150.579956,14.38083363,8.432916641,2.485000134,330
1,BP129,1,both,MEN1,28,1,MEN1_28_1,ME,6-Jun-18,17.4,1,3,1,2,1,3,interquartile dbh,1,46.65849,-68.69133,432,1950,Aroostook,2018,68,16.96078431,0.235294118,2.509803922,6.215686275,0.921568627,0.666666667,2.058823529,1073.420044,9.851666451,3.580416679,-2.69083333,57933
1,BP13,0,Nf,ADS1,10,4,ADS1_10_4,NY,29-Apr-18,13,3,2,0,2,0,0,lower quartile dbh,2,43.08413,-74.44064,430,1960,Fulton,2018,58,23.75882353,0.745098039,1.980392157,0,0.882352941,0.039215686,1.549019608,1229.859985,12.16166687,6.522083282,0.882499993,5229
