"ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species","Genus.join","primary","secondary"
"ASV_1","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Neonectria","s__faginata","Neonectria","plant_pathogen",""
"ASV_2","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Neocucurbitaria",NA,"Neocucurbitaria","unspecified_saprotroph",""
"ASV_3","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Neocucurbitaria","s__vachelliae","Neocucurbitaria","unspecified_saprotroph",""
"ASV_4","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Neonectria","s__ditissima","Neonectria","plant_pathogen",""
"ASV_5","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Hannaella","s__surugaensis","Hannaella","animal_parasite","animal_decomposer"
"ASV_6","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Asterosporium","s__hoffmannii","Asterosporium","foliar_endophyte","foliar_endophyte"
"ASV_7","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Neohendersonia","s__kickxii","Neohendersonia","wood_saprotroph",""
"ASV_8","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Asterosporium","s__hoffmannii","Asterosporium","foliar_endophyte","foliar_endophyte"
"ASV_9","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Acericola","s__italica","Acericola","wood_saprotroph",""
"ASV_10","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Coniothyriaceae","g__Coniothyrium",NA,"Coniothyrium","plant_pathogen","litter_saprotroph"
"ASV_11","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Acericola","s__italica","Acericola","wood_saprotroph",""
"ASV_12","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium",NA,"Cladosporium","litter_saprotroph","plant_pathogen"
"ASV_13","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Corynesporascaceae","g__Corynespora",NA,"Corynespora","plant_pathogen",""
